date,product_id,category,store,price,competitor_price,demand,actual_sales,inventory_level,revenue,profit,is_weekend,is_holiday,seasonal_factor,marketing_spend,weather_impact,price_elasticity
2022-04-02,PROD_0001,Electronics,Premium_Store,616.76,662.37,69.0,69.0,333,42814.25,17125.7,True,False,1.3,0.0,1.082,-1.2
2022-04-09,PROD_0001,Electronics,Premium_Store,597.28,725.28,111.0,111.0,335,66056.81,26422.72,True,False,1.297,0.0,1.051,-1.2
2022-04-16,PROD_0001,Electronics,Premium_Store,618.53,626.61,81.0,81.0,332,50118.23,20047.29,True,False,1.29,0.0,1.046,-1.2
2022-04-23,PROD_0001,Electronics,Premium_Store,578.42,666.97,109.0,109.0,214,63106.94,25242.78,True,False,1.279,0.0,1.035,-1.2
2022-04-30,PROD_0001,Electronics,Premium_Store,605.86,596.87,79.0,79.0,229,47746.37,19098.55,True,False,1.264,0.0,0.854,-1.2
2022-05-07,PROD_0001,Electronics,Premium_Store,542.85,541.22,108.0,103.0,103,55913.77,22365.51,True,False,1.245,42.32,1.246,-1.2
2022-05-14,PROD_0001,Electronics,Premium_Store,897.84,719.28,75.0,75.0,296,67086.37,26834.55,True,False,1.222,0.0,0.806,-1.2
2022-05-21,PROD_0001,Electronics,Premium_Store,854.41,700.25,51.0,51.0,247,43552.48,17420.99,True,False,1.197,0.0,0.86,-1.2
2022-05-28,PROD_0001,Electronics,Premium_Store,751.59,685.33,76.0,76.0,308,56907.2,22762.88,True,False,1.168,0.0,1.008,-1.2
2022-06-04,PROD_0001,Electronics,Premium_Store,770.18,654.46,45.0,45.0,177,34491.74,13796.69,True,False,1.137,0.0,0.909,-1.2
2022-06-11,PROD_0001,Electronics,Premium_Store,824.06,710.22,64.0,64.0,347,52506.71,21002.68,True,False,1.104,107.88,0.856,-1.2
2022-06-18,PROD_0001,Electronics,Premium_Store,833.28,734.96,58.0,58.0,189,48391.72,19356.69,True,False,1.069,0.0,0.979,-1.2
2022-06-25,PROD_0001,Electronics,Premium_Store,688.74,661.74,66.0,66.0,453,45116.68,18046.67,True,False,1.033,0.0,1.047,-1.2
2022-07-02,PROD_0001,Electronics,Premium_Store,739.79,729.11,67.0,67.0,398,49685.89,19874.36,True,False,0.997,36.44,0.929,-1.2
2022-07-09,PROD_0001,Electronics,Premium_Store,468.37,597.79,42.0,42.0,433,19808.27,7923.31,True,False,0.961,0.0,0.997,-1.2
2022-07-16,PROD_0001,Electronics,Premium_Store,912.14,721.82,35.0,35.0,71,31810.12,12724.05,True,False,0.926,361.23,1.015,-1.2
2022-07-23,PROD_0001,Electronics,Premium_Store,730.0,634.43,64.0,64.0,333,46596.47,18638.59,True,False,0.891,0.0,1.145,-1.2
2022-07-30,PROD_0001,Electronics,Premium_Store,733.25,682.73,48.0,48.0,66,35292.23,14116.89,True,False,0.859,0.0,1.04,-1.2
2022-08-06,PROD_0001,Electronics,Premium_Store,558.29,634.2,45.0,45.0,144,24982.22,9992.89,True,False,0.828,0.0,0.806,-1.2
2022-08-13,PROD_0001,Electronics,Premium_Store,684.87,700.51,48.0,48.0,177,32744.72,13097.89,True,False,0.8,0.0,1.086,-1.2
2022-08-20,PROD_0001,Electronics,Premium_Store,497.92,628.2,91.0,91.0,176,45301.64,18120.66,True,False,0.774,0.0,1.139,-1.2
2022-08-27,PROD_0001,Electronics,Premium_Store,756.5,686.45,47.0,47.0,219,35572.91,14229.16,True,False,0.752,0.0,1.138,-1.2
2022-09-03,PROD_0001,Electronics,Premium_Store,583.88,666.72,62.0,62.0,222,36178.35,14471.34,True,False,0.734,7.36,1.385,-1.2
2022-09-10,PROD_0001,Electronics,Premium_Store,547.64,641.7,55.0,55.0,337,30088.13,12035.25,True,False,0.719,0.0,0.959,-1.2
2022-09-17,PROD_0001,Electronics,Premium_Store,728.64,615.25,43.0,43.0,391,31252.96,12501.19,True,False,0.708,3.96,0.839,-1.2
2022-09-24,PROD_0001,Electronics,Premium_Store,513.5,527.78,70.0,70.0,157,35857.53,14343.01,True,False,0.702,0.0,1.078,-1.2
2022-10-01,PROD_0001,Electronics,Premium_Store,807.35,769.82,56.0,56.0,194,45071.27,18028.51,True,False,0.7,0.0,1.019,-1.2
2022-10-08,PROD_0001,Electronics,Premium_Store,677.17,621.79,62.0,62.0,178,41793.55,16717.42,True,False,0.702,17.01,0.932,-1.2
2022-10-15,PROD_0001,Electronics,Premium_Store,592.61,545.21,59.0,59.0,321,34948.9,13979.56,True,False,0.709,0.0,1.092,-1.2
2022-10-22,PROD_0001,Electronics,Premium_Store,894.65,775.04,29.0,29.0,484,25885.98,10354.39,True,False,0.72,0.0,0.941,-1.2
2022-10-29,PROD_0001,Electronics,Premium_Store,699.67,700.35,51.0,51.0,88,35867.92,14347.17,True,False,0.735,0.0,0.907,-1.2
2022-11-05,PROD_0001,Electronics,Premium_Store,617.66,617.6,80.0,80.0,374,49277.65,19711.06,True,False,0.754,0.0,1.076,-1.2
2022-11-12,PROD_0001,Electronics,Premium_Store,572.03,659.63,71.0,71.0,389,40330.27,16132.11,True,False,0.776,0.0,1.093,-1.2
2022-11-19,PROD_0001,Electronics,Premium_Store,589.1,569.54,83.0,83.0,372,48991.15,19596.46,True,False,0.802,0.0,1.007,-1.2
2022-11-26,PROD_0001,Electronics,Premium_Store,669.67,688.44,43.0,43.0,302,28943.7,11577.48,True,False,0.83,114.89,0.873,-1.2
2022-12-03,PROD_0001,Electronics,Premium_Store,506.04,617.95,78.0,78.0,163,39469.7,15787.88,True,False,0.861,0.0,0.964,-1.2
2022-12-10,PROD_0001,Electronics,Premium_Store,556.11,687.79,81.0,81.0,457,44999.49,17999.79,True,False,0.894,0.0,0.944,-1.2
2022-12-17,PROD_0001,Electronics,Premium_Store,635.62,657.63,66.0,66.0,239,42254.14,16901.66,True,False,0.928,0.0,1.116,-1.2
2022-12-24,PROD_0001,Electronics,Premium_Store,646.33,577.77,78.0,78.0,418,50622.31,20248.92,True,True,0.964,0.0,0.866,-1.2
2022-12-31,PROD_0001,Electronics,Premium_Store,616.48,711.69,67.0,67.0,433,41172.74,16469.1,True,True,1.0,0.0,0.987,-1.2
2023-01-07,PROD_0001,Electronics,Premium_Store,685.53,649.07,56.0,56.0,102,38682.18,15472.87,True,False,1.036,0.0,1.214,-1.2
2023-01-14,PROD_0001,Electronics,Premium_Store,778.5,649.43,52.0,52.0,284,40453.86,16181.54,True,False,1.072,0.0,0.985,-1.2
2023-01-21,PROD_0001,Electronics,Premium_Store,509.9,655.38,105.0,105.0,442,53783.16,21513.26,True,False,1.106,0.0,0.962,-1.2
2023-01-28,PROD_0001,Electronics,Premium_Store,703.47,665.08,66.0,66.0,376,46208.52,18483.41,True,False,1.139,0.0,0.952,-1.2
2023-02-04,PROD_0001,Electronics,Premium_Store,749.89,738.41,60.0,60.0,140,44862.27,17944.91,True,False,1.17,40.09,1.148,-1.2
2023-02-11,PROD_0001,Electronics,Premium_Store,672.06,622.56,55.0,55.0,366,36981.28,14792.51,True,False,1.198,0.0,1.047,-1.2
2023-02-18,PROD_0001,Electronics,Premium_Store,703.79,723.67,91.0,91.0,458,64028.68,25611.47,True,False,1.224,0.0,0.754,-1.2
2023-02-25,PROD_0001,Electronics,Premium_Store,666.23,650.82,89.0,89.0,451,58963.38,23585.35,True,False,1.246,24.44,1.005,-1.2
2023-03-04,PROD_0001,Electronics,Premium_Store,856.19,749.18,52.0,52.0,457,44704.66,17881.86,True,False,1.265,0.0,0.94,-1.2
2023-03-11,PROD_0001,Electronics,Premium_Store,642.59,611.04,76.0,76.0,269,48575.94,19430.38,True,False,1.28,0.0,0.819,-1.2
2023-03-18,PROD_0001,Electronics,Premium_Store,524.6,542.09,109.0,109.0,269,57348.71,22939.48,True,False,1.291,14.29,0.84,-1.2
2023-03-25,PROD_0001,Electronics,Premium_Store,423.8,537.53,203.0,203.0,338,85987.81,34395.12,True,False,1.298,0.0,1.019,-1.2
2023-04-01,PROD_0001,Electronics,Premium_Store,629.12,649.1,101.0,101.0,364,63593.28,25437.31,True,False,1.3,0.0,1.144,-1.2
2023-04-08,PROD_0001,Electronics,Premium_Store,726.49,730.46,78.0,55.0,55,39956.98,15982.79,True,False,1.298,0.0,0.994,-1.2
2023-04-15,PROD_0001,Electronics,Premium_Store,617.99,664.64,128.0,128.0,251,78824.57,31529.83,True,False,1.292,0.0,1.06,-1.2
2023-04-22,PROD_0001,Electronics,Premium_Store,549.34,546.06,103.0,103.0,495,56509.22,22603.69,True,False,1.281,0.0,1.051,-1.2
2023-04-29,PROD_0001,Electronics,Premium_Store,567.32,632.56,32.0,32.0,285,18021.97,7208.79,True,False,1.266,0.0,0.943,-1.2
2023-05-06,PROD_0001,Electronics,Premium_Store,766.25,713.15,68.0,68.0,484,52206.01,20882.4,True,False,1.248,0.0,1.088,-1.2
2023-05-13,PROD_0001,Electronics,Premium_Store,778.1,653.22,72.0,72.0,484,55988.68,22395.47,True,False,1.226,0.0,1.205,-1.2
2023-05-20,PROD_0001,Electronics,Premium_Store,626.67,508.89,91.0,91.0,100,57222.14,22888.86,True,False,1.2,0.0,0.862,-1.2
2023-05-27,PROD_0001,Electronics,Premium_Store,635.69,742.28,81.0,81.0,499,51484.29,20593.72,True,False,1.172,0.0,0.952,-1.2
2023-06-03,PROD_0001,Electronics,Premium_Store,655.34,693.53,58.0,58.0,233,38319.99,15328.0,True,False,1.141,0.0,1.049,-1.2
2023-06-10,PROD_0001,Electronics,Premium_Store,562.67,719.79,93.0,93.0,326,52367.74,20947.09,True,False,1.109,32.65,1.05,-1.2
2023-06-17,PROD_0001,Electronics,Premium_Store,584.38,582.71,84.0,84.0,350,48854.48,19541.79,True,False,1.074,0.0,0.772,-1.2
2023-06-24,PROD_0001,Electronics,Premium_Store,643.96,591.49,73.0,73.0,97,46951.62,18780.65,True,False,1.039,32.42,1.004,-1.2
2023-07-01,PROD_0001,Electronics,Premium_Store,680.1,699.24,75.0,75.0,263,50759.14,20303.66,True,False,1.003,142.69,0.877,-1.2
2023-07-08,PROD_0001,Electronics,Premium_Store,695.3,666.41,85.0,85.0,412,58839.58,23535.83,True,False,0.967,0.0,1.047,-1.2
2023-07-15,PROD_0001,Electronics,Premium_Store,652.25,587.89,63.0,63.0,77,41244.2,16497.68,True,False,0.931,38.87,0.91,-1.2
2023-07-22,PROD_0001,Electronics,Premium_Store,586.02,579.7,62.0,62.0,117,36252.13,14500.85,True,False,0.896,0.0,1.091,-1.2
2023-07-29,PROD_0001,Electronics,Premium_Store,925.81,791.23,37.0,37.0,473,34412.68,13765.07,True,False,0.863,0.0,1.165,-1.2
2023-08-05,PROD_0001,Electronics,Premium_Store,634.64,606.55,55.0,55.0,489,35090.43,14036.17,True,False,0.832,0.0,1.191,-1.2
2023-08-12,PROD_0001,Electronics,Premium_Store,617.71,637.37,66.0,66.0,161,40599.47,16239.79,True,False,0.803,20.65,0.874,-1.2
2023-08-19,PROD_0001,Electronics,Premium_Store,523.87,614.56,59.0,59.0,89,30820.36,12328.14,True,False,0.778,0.0,0.917,-1.2
2023-08-26,PROD_0001,Electronics,Premium_Store,659.15,659.44,60.0,60.0,484,39722.46,15888.98,True,False,0.755,0.0,1.045,-1.2
2023-09-02,PROD_0001,Electronics,Premium_Store,749.41,765.9,46.0,46.0,459,34409.78,13763.91,True,False,0.736,0.0,1.049,-1.2
2023-09-09,PROD_0001,Electronics,Premium_Store,477.97,471.84,77.0,77.0,369,36826.73,14730.69,True,False,0.721,70.54,0.91,-1.2
2023-09-16,PROD_0001,Electronics,Premium_Store,757.67,680.99,40.0,40.0,310,30073.09,12029.24,True,False,0.71,460.12,0.786,-1.2
2023-09-23,PROD_0001,Electronics,Premium_Store,646.38,612.5,59.0,59.0,448,38448.67,15379.47,True,False,0.703,0.0,1.077,-1.2
2023-09-30,PROD_0001,Electronics,Premium_Store,506.26,582.88,43.0,43.0,186,21628.78,8651.51,True,False,0.7,47.68,0.94,-1.2
2023-10-07,PROD_0001,Electronics,Premium_Store,692.45,672.96,47.0,47.0,278,32684.64,13073.86,True,False,0.702,17.87,1.05,-1.2
2023-10-14,PROD_0001,Electronics,Premium_Store,647.29,622.64,54.0,54.0,286,34773.13,13909.25,True,False,0.708,0.0,1.036,-1.2
2023-10-21,PROD_0001,Electronics,Premium_Store,899.73,773.96,31.0,31.0,402,27547.91,11019.16,True,False,0.718,0.0,1.081,-1.2
2023-10-28,PROD_0001,Electronics,Premium_Store,580.39,651.04,40.0,40.0,153,23314.52,9325.81,True,False,0.732,78.27,0.779,-1.2
2023-11-04,PROD_0001,Electronics,Premium_Store,663.86,600.29,32.0,32.0,160,21308.69,8523.48,True,False,0.751,0.0,1.051,-1.2
2023-11-11,PROD_0001,Electronics,Premium_Store,738.58,655.33,55.0,55.0,460,40881.33,16352.53,True,False,0.773,0.0,0.915,-1.2
2023-11-18,PROD_0001,Electronics,Premium_Store,701.04,618.95,52.0,52.0,343,36260.95,14504.38,True,False,0.798,0.0,1.083,-1.2
2023-11-25,PROD_0001,Electronics,Premium_Store,663.82,507.23,48.0,48.0,206,31581.99,12632.8,True,False,0.826,128.1,1.018,-1.2
2023-12-02,PROD_0001,Electronics,Premium_Store,788.6,738.12,56.0,56.0,118,44007.69,17603.08,True,False,0.856,0.0,1.028,-1.2
2023-12-09,PROD_0001,Electronics,Premium_Store,614.85,671.22,65.0,65.0,412,39989.46,15995.78,True,False,0.889,88.24,0.939,-1.2
2023-12-16,PROD_0001,Electronics,Premium_Store,717.07,658.4,86.0,86.0,425,61349.02,24539.61,True,False,0.923,105.37,1.059,-1.2
2023-12-23,PROD_0001,Electronics,Premium_Store,722.53,734.62,52.0,52.0,395,37564.72,15025.89,True,True,0.959,0.0,0.953,-1.2
2023-12-30,PROD_0001,Electronics,Premium_Store,808.09,721.12,54.0,54.0,186,43819.5,17527.8,True,True,0.995,155.02,0.987,-1.2
2022-01-01,PROD_0002,Electronics,Premium_Store,614.19,666.0,62.0,62.0,396,37789.12,15115.65,True,False,1.005,0.0,0.722,-1.2
2022-01-08,PROD_0002,Electronics,Premium_Store,552.11,552.3,84.0,84.0,247,46404.68,18561.87,True,False,1.041,37.32,0.868,-1.2
2022-01-15,PROD_0002,Electronics,Premium_Store,711.66,708.88,58.0,58.0,386,41194.76,16477.91,True,False,1.077,0.0,0.852,-1.2
2022-01-22,PROD_0002,Electronics,Premium_Store,578.1,578.08,85.0,85.0,306,48963.11,19585.24,True,False,1.111,0.0,1.016,-1.2
2022-01-29,PROD_0002,Electronics,Premium_Store,592.86,525.77,65.0,65.0,354,38556.25,15422.5,True,False,1.144,63.88,0.788,-1.2
2022-02-05,PROD_0002,Electronics,Premium_Store,801.06,656.92,55.0,55.0,162,43935.6,17574.24,True,False,1.174,0.0,0.734,-1.2
2022-02-12,PROD_0002,Electronics,Premium_Store,616.56,663.24,69.0,69.0,415,42266.61,16906.64,True,False,1.202,0.0,0.922,-1.2
2022-02-19,PROD_0002,Electronics,Premium_Store,509.32,508.67,143.0,143.0,377,72977.47,29190.99,True,False,1.227,160.9,0.859,-1.2
2022-02-26,PROD_0002,Electronics,Premium_Store,574.55,581.54,112.0,112.0,127,64097.84,25639.14,True,False,1.249,0.0,0.963,-1.2
2022-03-05,PROD_0002,Electronics,Premium_Store,631.78,591.47,61.0,61.0,134,38361.07,15344.43,True,False,1.268,20.02,1.077,-1.2
2022-03-12,PROD_0002,Electronics,Premium_Store,630.01,764.7,62.0,62.0,283,39093.15,15637.26,True,False,1.282,0.0,1.105,-1.2
2022-03-19,PROD_0002,Electronics,Premium_Store,585.3,643.71,96.0,96.0,442,56087.72,22435.09,True,False,1.292,0.0,0.933,-1.2
2022-03-26,PROD_0002,Electronics,Premium_Store,771.55,643.71,77.0,77.0,177,59489.09,23795.64,True,False,1.298,66.32,0.997,-1.2
2022-04-02,PROD_0002,Electronics,Premium_Store,709.52,655.7,110.0,110.0,327,77899.26,31159.7,True,False,1.3,0.0,0.953,-1.2
2022-04-09,PROD_0002,Electronics,Premium_Store,617.79,672.59,97.0,66.0,66,40774.15,16309.66,True,False,1.297,0.0,1.055,-1.2
2022-04-16,PROD_0002,Electronics,Premium_Store,634.89,648.64,127.0,127.0,336,80354.58,32141.83,True,False,1.29,0.0,0.935,-1.2
2022-04-23,PROD_0002,Electronics,Premium_Store,795.67,752.08,93.0,93.0,171,74014.15,29605.66,True,False,1.279,0.0,0.872,-1.2
2022-04-30,PROD_0002,Electronics,Premium_Store,647.03,642.3,96.0,78.0,78,50468.48,20187.39,True,False,1.264,0.0,0.978,-1.2
2022-05-07,PROD_0002,Electronics,Premium_Store,662.59,562.14,69.0,69.0,147,46009.37,18403.75,True,False,1.245,0.0,0.825,-1.2
2022-05-14,PROD_0002,Electronics,Premium_Store,747.34,641.95,47.0,47.0,386,35104.68,14041.87,True,False,1.222,0.0,0.972,-1.2
2022-05-21,PROD_0002,Electronics,Premium_Store,820.04,714.16,42.0,42.0,476,34409.08,13763.63,True,False,1.197,0.0,1.177,-1.2
2022-05-28,PROD_0002,Electronics,Premium_Store,676.87,645.07,65.0,65.0,354,44308.26,17723.3,True,False,1.168,300.05,0.941,-1.2
2022-06-04,PROD_0002,Electronics,Premium_Store,742.67,635.29,50.0,50.0,198,37073.5,14829.4,True,False,1.137,0.0,1.061,-1.2
2022-06-11,PROD_0002,Electronics,Premium_Store,637.95,738.92,92.0,92.0,108,58850.92,23540.37,True,False,1.104,0.0,1.073,-1.2
2022-06-18,PROD_0002,Electronics,Premium_Store,690.65,663.5,76.0,76.0,319,52186.28,20874.51,True,False,1.069,131.31,1.013,-1.2
2022-06-25,PROD_0002,Electronics,Premium_Store,661.01,639.99,68.0,68.0,421,45059.5,18023.8,True,False,1.033,0.0,1.079,-1.2
2022-07-02,PROD_0002,Electronics,Premium_Store,573.15,616.46,96.0,96.0,237,55272.5,22109.0,True,False,0.997,0.0,1.05,-1.2
2022-07-09,PROD_0002,Electronics,Premium_Store,767.56,715.87,56.0,56.0,425,42986.24,17194.5,True,False,0.961,0.0,0.81,-1.2
2022-07-16,PROD_0002,Electronics,Premium_Store,835.09,717.83,42.0,42.0,431,34855.33,13942.13,True,False,0.926,0.0,1.089,-1.2
2022-07-23,PROD_0002,Electronics,Premium_Store,634.51,648.71,68.0,68.0,145,42846.89,17138.76,True,False,0.891,0.0,0.881,-1.2
2022-07-30,PROD_0002,Electronics,Premium_Store,775.72,741.61,44.0,44.0,288,33809.73,13523.89,True,False,0.859,0.0,1.031,-1.2
2022-08-06,PROD_0002,Electronics,Premium_Store,641.35,606.81,56.0,56.0,373,35757.34,14302.93,True,False,0.828,0.0,0.97,-1.2
2022-08-13,PROD_0002,Electronics,Premium_Store,554.71,691.38,46.0,46.0,236,25601.16,10240.46,True,False,0.8,0.0,0.972,-1.2
2022-08-20,PROD_0002,Electronics,Premium_Store,614.14,636.09,69.0,69.0,202,42642.16,17056.86,True,False,0.774,0.0,0.934,-1.2
2022-08-27,PROD_0002,Electronics,Premium_Store,534.83,607.14,65.0,65.0,415,34519.69,13807.88,True,False,0.752,19.42,0.95,-1.2
2022-09-03,PROD_0002,Electronics,Premium_Store,690.75,613.89,42.0,42.0,96,28864.97,11545.99,True,False,0.734,73.04,0.983,-1.2
2022-09-10,PROD_0002,Electronics,Premium_Store,735.4,809.5,49.0,49.0,194,35944.26,14377.7,True,False,0.719,169.19,1.317,-1.2
2022-09-17,PROD_0002,Electronics,Premium_Store,741.66,604.26,36.0,36.0,147,26963.84,10785.54,True,False,0.708,0.0,1.18,-1.2
2022-09-24,PROD_0002,Electronics,Premium_Store,601.37,603.46,38.0,38.0,74,22749.9,9099.96,True,False,0.702,0.0,0.981,-1.2
2022-10-01,PROD_0002,Electronics,Premium_Store,624.55,598.11,50.0,50.0,139,30969.37,12387.75,True,False,0.7,0.0,0.905,-1.2
2022-10-08,PROD_0002,Electronics,Premium_Store,767.95,652.33,48.0,48.0,286,36517.77,14607.11,True,False,0.702,0.0,1.202,-1.2
2022-10-15,PROD_0002,Electronics,Premium_Store,645.43,654.14,61.0,61.0,318,39421.84,15768.73,True,False,0.709,0.0,0.973,-1.2
2022-10-22,PROD_0002,Electronics,Premium_Store,811.34,726.0,47.0,47.0,284,38016.8,15206.72,True,False,0.72,0.0,1.048,-1.2
2022-10-29,PROD_0002,Electronics,Premium_Store,626.4,643.84,65.0,65.0,88,40687.7,16275.08,True,False,0.735,170.36,1.064,-1.2
2022-11-05,PROD_0002,Electronics,Premium_Store,763.07,733.1,44.0,44.0,162,33395.38,13358.15,True,False,0.754,0.0,0.851,-1.2
2022-11-12,PROD_0002,Electronics,Premium_Store,586.11,592.67,58.0,58.0,463,34001.18,13600.47,True,False,0.776,56.61,1.019,-1.2
2022-11-19,PROD_0002,Electronics,Premium_Store,749.79,721.98,44.0,44.0,453,32952.7,13181.08,True,False,0.802,0.0,1.068,-1.2
2022-11-26,PROD_0002,Electronics,Premium_Store,721.4,623.7,49.0,49.0,242,35606.9,14242.76,True,False,0.83,7.76,0.93,-1.2
2022-12-03,PROD_0002,Electronics,Premium_Store,824.33,774.2,40.0,40.0,78,32972.56,13189.03,True,False,0.861,39.1,1.138,-1.2
2022-12-10,PROD_0002,Electronics,Premium_Store,687.67,645.73,77.0,77.0,334,52808.7,21123.48,True,False,0.894,0.0,0.959,-1.2
2022-12-17,PROD_0002,Electronics,Premium_Store,672.23,657.0,79.0,79.0,133,52857.01,21142.8,True,False,0.928,0.0,1.058,-1.2
2022-12-24,PROD_0002,Electronics,Premium_Store,542.26,575.45,80.0,80.0,311,43454.99,17382.0,True,True,0.964,0.0,0.893,-1.2
2022-12-31,PROD_0002,Electronics,Premium_Store,642.05,613.17,45.0,45.0,212,28765.07,11506.03,True,True,1.0,105.46,1.086,-1.2
2023-01-07,PROD_0002,Electronics,Premium_Store,638.46,627.71,88.0,88.0,128,56303.64,22521.46,True,False,1.036,0.0,1.046,-1.2
2023-01-14,PROD_0002,Electronics,Premium_Store,765.98,651.51,57.0,57.0,427,43689.32,17475.73,True,False,1.072,0.0,0.974,-1.2
2023-01-21,PROD_0002,Electronics,Premium_Store,757.55,743.61,63.0,63.0,277,47933.84,19173.54,True,False,1.106,0.0,0.924,-1.2
2023-01-28,PROD_0002,Electronics,Premium_Store,740.39,619.81,60.0,60.0,121,44699.49,17879.8,True,False,1.139,0.0,0.828,-1.2
2023-02-04,PROD_0002,Electronics,Premium_Store,633.69,648.35,80.0,80.0,144,50543.59,20217.44,True,False,1.17,0.0,0.758,-1.2
2023-02-11,PROD_0002,Electronics,Premium_Store,602.51,698.24,114.0,114.0,228,68820.55,27528.22,True,False,1.198,27.71,1.047,-1.2
2023-02-18,PROD_0002,Electronics,Premium_Store,738.65,648.53,109.0,109.0,402,80371.38,32148.55,True,False,1.224,0.0,1.003,-1.2
2023-02-25,PROD_0002,Electronics,Premium_Store,600.25,605.67,91.0,91.0,243,54774.91,21909.96,True,False,1.246,0.0,0.927,-1.2
2023-03-04,PROD_0002,Electronics,Premium_Store,501.41,586.38,136.0,136.0,409,68300.48,27320.19,True,False,1.265,0.0,0.973,-1.2
2023-03-11,PROD_0002,Electronics,Premium_Store,602.41,673.27,134.0,134.0,367,80571.27,32228.51,True,False,1.28,0.0,1.064,-1.2
2023-03-18,PROD_0002,Electronics,Premium_Store,775.18,636.66,104.0,104.0,432,80704.44,32281.78,True,False,1.291,0.0,1.046,-1.2
2023-03-25,PROD_0002,Electronics,Premium_Store,628.67,662.86,127.0,127.0,168,80075.89,32030.36,True,False,1.298,0.0,0.947,-1.2
2023-04-01,PROD_0002,Electronics,Premium_Store,515.6,520.17,132.0,132.0,494,68224.32,27289.73,True,False,1.3,3.11,0.924,-1.2
2023-04-08,PROD_0002,Electronics,Premium_Store,485.57,541.54,122.0,122.0,453,59382.61,23753.04,True,False,1.298,0.0,1.087,-1.2
2023-04-15,PROD_0002,Electronics,Premium_Store,838.24,699.93,78.0,78.0,154,65615.71,26246.28,True,False,1.292,0.0,1.295,-1.2
2023-04-22,PROD_0002,Electronics,Premium_Store,644.28,765.75,89.0,89.0,475,57160.74,22864.3,True,False,1.281,0.0,1.088,-1.2
2023-04-29,PROD_0002,Electronics,Premium_Store,596.39,561.4,81.0,81.0,274,48208.77,19283.51,True,False,1.266,125.82,0.987,-1.2
2023-05-06,PROD_0002,Electronics,Premium_Store,648.21,631.05,93.0,93.0,160,60490.23,24196.09,True,False,1.248,0.0,0.963,-1.2
2023-05-13,PROD_0002,Electronics,Premium_Store,660.63,707.51,115.0,77.0,77,50868.68,20347.47,True,False,1.226,106.93,1.107,-1.2
2023-05-20,PROD_0002,Electronics,Premium_Store,602.56,603.97,112.0,112.0,444,67738.62,27095.45,True,False,1.2,0.0,1.048,-1.2
2023-05-27,PROD_0002,Electronics,Premium_Store,580.31,607.24,58.0,58.0,182,33620.6,13448.24,True,False,1.172,96.01,1.042,-1.2
2023-06-03,PROD_0002,Electronics,Premium_Store,672.85,683.84,64.0,64.0,169,42926.02,17170.41,True,False,1.141,0.0,1.208,-1.2
2023-06-10,PROD_0002,Electronics,Premium_Store,654.64,665.52,93.0,93.0,179,60743.8,24297.52,True,False,1.109,26.28,0.945,-1.2
2023-06-17,PROD_0002,Electronics,Premium_Store,624.86,618.95,81.0,61.0,61,38116.45,15246.58,True,False,1.074,431.48,0.911,-1.2
2023-06-24,PROD_0002,Electronics,Premium_Store,611.41,679.41,80.0,80.0,227,49172.73,19669.09,True,False,1.039,0.0,0.71,-1.2
2023-07-01,PROD_0002,Electronics,Premium_Store,631.94,655.97,57.0,57.0,390,36098.72,14439.49,True,False,1.003,111.66,1.051,-1.2
